,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x1139a82,,,,,,,,,,,,,0.0,4.193856,,
0x1139c1d,,21.43296,,,,,,,,,,,0.0,,,
0x1213135,,36.0,,,,,,,,,,,,,,
0x112a3b5,,,,,,,,,22.32947188747683,,,,,0.20995200000000008,,0.0
0x112a30a,,,,,,,,,12.63535220736,,,,,,,
0x1a2d535,,,,68.39665809850369,,,,,,,,,,,,
0x149a2cf,,,,,,,,,,,,95.601953488896,,,,
0x7de57,38.80348287263336,,0.0,,,,,,,,,,0.0,,,
0x17213b9,,,77.11496281392567,,,,,13.556239086183748,,,,,70.28747244915894,,,
0x172155d,,,3.6,89.96941537237451,,,,23.6448,,,,,,,,
0x1aad61b,,,,,,,,99.98338465005268,,,,,,,,
0x32493c,,,,,,,,,0.0,,,,,,,0.0
0x324ff0,,,,0.0,,,,,,,,,,,,0.0
0x38a8b0,0.0,-20.0,,,,,,,,,,,,,,
0x1204ec,,,,,,,,,,,,,,,,-1.3743895347200004
0x18d462a,,,,,,,,,0.0,,,,,,,
0x1b32777,,,,,,,,,,,,-20.0,,,,
0x11d990,,,,,,,,,,,,,,0.0,,0.3121571669200407
0x182745,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0
0x18473a,0.0,0.0,0.0,,,,,,,,,,,,,0.0
0x6067ad,,,-36.0,,,,,,,,,,,,,
0x1992c,,,,,,,,0.0,,,,,,,,3.4796647232702678
0x1668c,,,,,,,,,,,,,0.0,,,13.70418189585235
0x32f395,3.250015488000001,0.0,,,99.9999999378346,,,,,,,,16.5374208,,,
0x32f0d7,0.0,9.36,,,59.04,,,,,,,,,,,
0x10cfc99,,,,,20.0,,,,,,,,,,,
0x1b820e6,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0
0x1b820eb,,,,,0.0,,,,,,,,0.0,0.0,,
0x1bcb34e,,,,,,,,,,,,,0.0,0.0,,
0x25f44e3,,,-20.0,,,,,,,,,,,,,
0xe01dd9,,,0.0,,,,,0.0,,,,0.0,,,0.0,
0x18a689e,,,,,,,,0.0,,,,0.0,,,0.0,
0x18a9817,,,,0.0,,,,,,,,,,,,
0x1926b06,,,,,,,,,,,,20.0,,,,
0x1c8be62,,-20.0,0.0,,,,,,0.0,,,,,,,
0x28b5cfa,,,,,,,,,-20.0,,,,,,,
0x18855,,,,,,,,-63.40445571344672,,,,,,,,-90.6617374180876
0x7d602,0.0,,0.0,,,,,,0.0,,,,,,,
0x80fe9,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,
0x206f038,,,0.0,0.0,,,,,,,,0.0,,,,
0x28fe490,,,,,,,,,,,,-20.0,,,,
0x17a2e4f,,,4.691520000000001,,,,,0.0,,,,,,,,
0x148a30f,,,,,,,,23.6448,,,,,,0.0,0.0,
0x1486fcd,,,,,,,,,,,,,,0.0,67.232,
0x16e7245,,,0.0,,,,,-0.6480000000000001,,,,,,,,6.628676763833427
0x16e7255,,,2.8051345612800005,,,,,17.632410498662402,,,,,,,,
0x144194e,,,,,,,,0.6480000000000001,29.675616344801284,,,,,,,
0x144329e,,,,,,,,,9.36,,,,,,,
0x1409cb9,,,,48.8,,,,,,,,,,,,
0x946591,0.0,,0.0,,,,,0.0,0.0,,,,,,,
0x946c45,0.0,,0.0,0.0,,,,0.0,,,,,,,,
0xd46524,,,,,,,,0.0,,,,,,,,
0x28afd10,,,,,20.0,,,,,,,,,,,
0x1b8515c,,36.054973974721165,-45.804521576493165,-51.97874337992165,,,,80.18110262293312,,,,,,,,
0x1c0a08f,,-68.5983857741346,-77.1089008973213,,,,,,,,,,,,,
0x26aea61,,,,,,,,,-89.39044816776779,,,,,,,
0x946dc7,0.0,,0.0,,,,,,,,,,,,,
0x174d0b3,,,0.0,,,,,,,,,,,,,
0x143dd1f,,,,,,,,,,,,,,0.0,,
0x1537b44,,,,,,,,20.0,,,,,,,,
0x1748cc7,,,0.0,,,,,,20.04842366547831,,,,0.0,0.0,,0.0
0x15469e6,,,,,,,,,0.0,,,0.0,,0.0,,0.0
0x1543748,,,,,,,,,0.0,,,,0.0,0.0,,
0x1544879,,,,,,,,,,,,,,20.0,,
0xa4b639,0.0,,0.0,,0.0,,,,0.0,,,,,2.2307166720000002,,
0xa69ec1,,,,,,,,,,,,,,0.6480000000000001,,
0xa6afdd,,,0.0,,,,,,,,,,9.36,,,
0x25d72ec,,,59.04,,,,,,,,,,,,,
0x1feec9,0.0,,,,,,,,,,,,,,0.0,
0x1fedee,0.0,,,,,,,,,,,,,,,
0x18a9bdd,,,,0.0,,,,,,,,-20.0,,,,
0x946552,64.84234999229668,,41.948612654867894,,,,,40.233592553344714,15.59252868452587,,,,,,,
0x946bfd,0.0,,0.0,0.0,,,,0.0,,,,,,17.90062890052073,,
0xb22a9f,0.0,,,,,,,0.0,,,,,,0.0,,
0xb23366,3.6,,,,,,,75.5872947260084,,,,,,,,
0xdad778,99.92077183748573,,,,,,,,,,,,,,,
0x1fde6c,0.0,,,,,,,0.0,0.0,,,,,,,
0xb22acc,0.0,,,0.0,,,,0.0,,,,,,,,
0xba7726,20.0,,,,,,,,,,,,,,,
0x1721455,,,71.52473722867268,,,,,14.893233868800003,,,,,,,2.92896,
0x1406d58,,,,0.0,,,,,,,,,16.197750116920233,,77.31281968125207,
0x1486f57,,,,,,,,,,,,,8.784,,0.0,
0x1486b8e,,,,,,,,,,,,,99.97403851570732,,,
0x946def,0.8714584748851202,,26.45891331236578,,,,,0.0,,,,,,,,
0x948838,0.0,,0.0,,0.0,,,,,,,,0.0,,,
0x174e1a6,,,0.0,,,,,,,,,,0.6480000000000001,,,
0x174e1b5,,,0.0,9.36,,,,,,,,,,,,
0x17cadea,,,48.8,,,,,,,,,,,,,
0xd4662b,,,,,,,,0.0,,,,,,,,
0xd49b02,,,,,,,,,,,,,,,,-0.6480000000000001
0xd49b09,,,,,,,,,,,,,-16.272,,,
0xdae9b7,20.0,,,,,,,,,,,,,,,
0x1b850bc,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0
0x1bdbae9,,0.0,0.0,,,,,,0.0,,,,,,,0.0
0x27f7131,,,,-20.0,,,,0.0,,,,,,,,0.0
0xb1dc32,25.345506536942263,,,,,,,,,,,,0.0,,,
0x150bd45,,,,,,,,68.93459016594578,,,,21.206002176000002,,,-31.727748096,
0x150eea4,,,,,,,,,,,,0.0,0.0,,,3.6
0x150f0c1,,,,,,,,,,,,83.222784,,,,
0x11f40c,,,,,,,,,,,,,,,,-86.57309731854946
